id,data_entrada,origem,segmento,etapa_atual,data_ultima_movimentacao,valor_potencial,status_final,etapa_num,dias_no_funil,dias_sem_movimentacao,mes_entrada,tempo_ciclo
L0257,2024-12-12,LinkedIn,Indústria,Negociação,2025-02-27,33500,Perdido,4,170,93,2024-12,77
L0258,2025-04-27,LinkedIn,Varejo,SQL,2025-05-27,7000,Em Andamento,2,34,4,2025-04,30
L0259,2025-02-09,Site,Financeiro,Lead,2025-02-15,31500,Perdido,0,111,105,2025-02,6
L0260,2025-04-22,LinkedIn,Varejo,Lead,2025-04-27,18500,Perdido,0,39,34,2025-04,5
L0261,2025-05-28,LinkedIn,Indústria,Fechado,2025-05-31,8000,Perdido,5,3,0,2025-05,3
L0262,2024-12-15,LinkedIn,Serviços,Fechado,2025-03-30,13000,Perdido,5,167,62,2024-12,105
L0263,2024-12-24,LinkedIn,Indústria,Fechado,2025-03-17,3000,Perdido,5,158,75,2024-12,83
L0264,2025-04-02,Site,Varejo,MQL,2025-04-13,5500,Em Andamento,1,59,48,2025-04,11
L0265,2025-04-02,Outbound,Financeiro,Lead,2025-04-07,20000,Em Andamento,0,59,54,2025-04,5
L0266,2025-02-11,Site,Financeiro,Lead,2025-02-18,10500,Em Andamento,0,109,102,2025-02,7
L0267,2025-03-30,Site,Serviços,Lead,2025-04-04,38500,Em Andamento,0,62,57,2025-03,5
L0268,2025-02-19,LinkedIn,Financeiro,Proposta,2025-04-20,9500,Em Andamento,3,101,41,2025-02,60
L0269,2025-02-14,Site,Varejo,MQL,2025-03-06,8500,Em Andamento,1,106,86,2025-02,20
L0270,2025-02-04,Indicação,Serviços,Lead,2025-02-11,14500,Perdido,0,116,109,2025-02,7
L0271,2025-01-13,Indicação,Varejo,Proposta,2025-03-05,28500,Em Andamento,3,138,87,2025-01,51
L0272,2025-04-14,Site,Tech,Lead,2025-04-14,8000,Perdido,0,47,47,2025-04,0
L0273,2025-03-16,Site,Indústria,Proposta,2025-05-13,31500,Perdido,3,76,18,2025-03,58
L0274,2025-05-18,LinkedIn,Tech,Proposta,2025-05-31,21000,Em Andamento,3,13,0,2025-05,13
L0275,2025-04-08,Indicação,Serviços,MQL,2025-04-18,7000,Em Andamento,1,53,43,2025-04,10
L0276,2025-01-31,Site,Financeiro,SQL,2025-03-05,32000,Em Andamento,2,120,87,2025-01,33
L0277,2025-04-24,Site,Indústria,MQL,2025-05-14,17000,Em Andamento,1,37,17,2025-04,20
L0278,2024-12-24,LinkedIn,Serviços,Fechado,2025-04-03,9000,Ganho,5,158,58,2024-12,100
L0279,2025-04-24,Outbound,Tech,Lead,2025-04-27,21500,Perdido,0,37,34,2025-04,3
L0280,2025-05-27,Outbound,Serviços,MQL,2025-05-31,10500,Perdido,1,4,0,2025-05,4
L0281,2025-01-15,Outbound,Varejo,Proposta,2025-02-12,12000,Em Andamento,3,136,108,2025-01,28
L0282,2025-01-11,LinkedIn,Financeiro,Fechado,2025-04-12,36500,Ganho,5,140,49,2025-01,91
L0283,2025-04-08,Indicação,Varejo,Negociação,2025-05-31,31000,Em Andamento,4,53,0,2025-04,53
L0284,2024-12-08,LinkedIn,Serviços,SQL,2025-01-17,6000,Em Andamento,2,174,134,2024-12,40
L0285,2024-12-22,Indicação,Varejo,Fechado,2025-03-28,44500,Ganho,5,160,64,2024-12,96
L0286,2025-02-20,Site,Tech,Fechado,2025-05-07,6000,Ganho,5,100,24,2025-02,76
L0287,2024-12-27,Site,Varejo,MQL,2025-01-22,10000,Perdido,1,155,129,2024-12,26
L0288,2024-12-04,Site,Serviços,Lead,2024-12-07,19500,Perdido,0,178,175,2024-12,3
L0289,2025-04-26,LinkedIn,Serviços,Fechado,2025-05-31,16000,Ganho,5,35,0,2025-04,35
L0290,2024-12-20,Site,Indústria,Lead,2024-12-23,10000,Em Andamento,0,162,159,2024-12,3
L0291,2025-03-28,Site,Varejo,SQL,2025-05-12,9500,Em Andamento,2,64,19,2025-03,45
L0292,2025-03-23,Site,Financeiro,SQL,2025-04-18,17000,Em Andamento,2,69,43,2025-03,26
L0293,2025-03-12,Outbound,Varejo,Lead,2025-03-15,7500,Perdido,0,80,77,2025-03,3
L0294,2025-02-22,Site,Serviços,MQL,2025-03-11,23000,Em Andamento,1,98,81,2025-02,17
L0295,2025-05-24,Indicação,Tech,Lead,2025-05-27,26000,Em Andamento,0,7,4,2025-05,3
L0296,2025-03-23,Indicação,Tech,Proposta,2025-04-26,13000,Em Andamento,3,69,35,2025-03,34
L0297,2025-05-18,Site,Serviços,Lead,2025-05-25,24000,Em Andamento,0,13,6,2025-05,7
L0298,2025-04-29,LinkedIn,Financeiro,Lead,2025-04-29,29000,Perdido,0,32,32,2025-04,0
L0299,2025-03-03,Indicação,Financeiro,MQL,2025-03-18,40000,Em Andamento,1,89,74,2025-03,15
L0300,2025-01-12,LinkedIn,Tech,Proposta,2025-03-16,31000,Perdido,3,139,76,2025-01,63
